session,wave,copy,target,iterations,wall_s,cpu_s,exit_code
8,4,2,toml-parse,400000,31.6,18.9,0
8,4,2,yaml-parse,400000,49.5,36.7,0
8,4,2,ini-parse,400000,49,38.5,0
8,4,2,properties-parse,400000,52.5,38.5,0
8,4,2,xml-parse,400000,23.8,10.9,0
8,4,2,plist-parse,400000,30.6,17,0
8,4,2,hcl-parse,400000,38.2,33.2,0
8,4,2,json-ops,75000,17.1,11.8,0
8,4,2,toml-ops,75000,9.8,6.2,0
8,4,2,yaml-ops,75000,20.2,16,0
8,4,2,ini-ops,75000,25.9,16.3,0
8,4,2,properties-ops,75000,29.5,25.2,0
8,4,2,xml-ops,75000,6.7,3.7,0
8,4,2,plist-ops,75000,8.2,4.7,0
8,4,2,hcl-ops,75000,13.9,12.2,0
8,4,2,protocol-decode,800000,27.9,23.8,0
8,4,3,json-parse,400000,35.6,31.1,0
8,4,3,toml-parse,400000,25.4,20.3,0
8,4,3,yaml-parse,400000,45.3,41,0
8,4,3,ini-parse,400000,45.8,40.4,0
8,4,3,properties-parse,400000,48.9,43.3,0
8,4,3,xml-parse,400000,16.5,13.4,0
8,4,3,plist-parse,400000,22.2,18.4,0
8,4,3,hcl-parse,400000,38.1,33.5,0
8,4,3,json-ops,75000,17.5,13.5,0
8,4,3,toml-ops,75000,9.7,7.1,0
8,4,3,yaml-ops,75000,21.1,16.3,0
8,4,3,ini-ops,75000,21.7,16.5,0
8,4,3,properties-ops,75000,28.9,25.2,0
8,4,3,xml-ops,75000,6.1,4.7,0
8,4,3,plist-ops,75000,6.6,4.9,0
8,4,3,hcl-ops,75000,15.4,11.8,0
8,4,3,protocol-decode,800000,28.4,23.6,0
8,5,1,json-parse,400000,59.5,43.1,0
8,5,1,toml-parse,400000,44.7,26.9,0
8,5,1,yaml-parse,400000,74.3,59.1,0
8,5,1,ini-parse,400000,76.9,57.9,0
8,5,1,properties-parse,400000,82.1,64.2,0
8,5,1,xml-parse,400000,33.9,16.7,0
8,5,1,plist-parse,400000,39,22.5,0
8,5,1,hcl-parse,400000,62,45.2,0
8,5,1,json-ops,75000,31.8,16.7,0
8,5,1,toml-ops,75000,10.7,8,0
8,5,1,yaml-ops,75000,38,21.1,0
8,5,1,ini-ops,75000,36.4,22.2,0
8,5,1,properties-ops,75000,51.8,32.3,0
8,5,1,xml-ops,75000,11.2,4.7,0
8,5,1,plist-ops,75000,10.7,5.3,0
8,5,1,hcl-ops,75000,29.7,15,0
8,5,1,protocol-decode,800000,47.2,31.1,0
8,5,2,json-parse,400000,60.5,42.3,0
8,5,2,toml-parse,400000,44.1,26,0
8,5,2,yaml-parse,400000,73.8,59.4,0
8,5,2,ini-parse,400000,80,58.7,0
8,5,2,properties-parse,400000,83,65,0
8,5,2,xml-parse,400000,34.4,16.5,0
8,5,2,plist-parse,400000,33.8,21.8,0
8,5,2,hcl-parse,400000,65,45.6,0
8,5,2,json-ops,75000,21.5,15.5,0
8,5,2,toml-ops,75000,8.6,7.4,0
8,5,2,yaml-ops,75000,29.2,19.5,0
8,5,2,ini-ops,75000,33.3,21.6,0
8,5,2,properties-ops,75000,42,30.4,0
8,5,2,xml-ops,75000,6,4.2,0
8,5,2,plist-ops,75000,10.6,5.5,0
8,5,2,hcl-ops,75000,21.9,13.7,0
8,5,2,protocol-decode,800000,38.4,28.8,0
8,5,3,json-parse,400000,49.7,41.5,0
8,5,3,toml-parse,400000,34.8,26.1,0
8,5,3,yaml-parse,400000,71.7,59,0
8,5,3,ini-parse,400000,64,56.4,0
8,5,3,properties-parse,400000,75.7,63.4,0
8,5,3,xml-parse,400000,24.5,15.7,0
8,5,3,plist-parse,400000,29.6,21.2,0
8,5,3,hcl-parse,400000,54.8,44,0
8,5,3,json-ops,75000,21.9,15.8,0
8,5,3,toml-ops,75000,14.2,7.7,0
8,5,3,yaml-ops,75000,33.2,20.8,0
8,5,3,ini-ops,75000,25.5,20.8,0
8,5,3,properties-ops,75000,39.9,30.2,0
8,5,3,xml-ops,75000,11.1,5.2,0
8,5,3,plist-ops,75000,11.6,5.8,0
8,5,3,hcl-ops,75000,21.9,13.8,0
8,5,3,protocol-decode,800000,40.4,30,0
8,6,1,json-parse,400000,59.8,42.9,0
8,6,1,toml-parse,400000,44.3,26.1,0
8,6,1,yaml-parse,400000,71,51.3,0
8,6,1,ini-parse,400000,70.9,47.8,0
8,6,1,properties-parse,400000,72,55.2,0
8,6,1,xml-parse,400000,32.6,17.5,0
8,6,1,plist-parse,400000,42.1,23.7,0
8,6,1,hcl-parse,400000,60.2,42.4,0
8,6,1,json-ops,75000,36.1,16.1,0
8,6,1,toml-ops,75000,17.8,9.1,0
8,6,1,yaml-ops,75000,42,19.7,0
8,6,1,ini-ops,75000,42,23.9,0
8,6,1,properties-ops,75000,48.3,31.1,0
8,6,1,xml-ops,75000,10.9,5,0
8,6,1,plist-ops,75000,14.6,6.7,0
8,6,1,hcl-ops,75000,31.9,14.2,0
8,6,1,protocol-decode,800000,51.4,28.3,0
8,6,2,json-parse,400000,60.1,42.5,0
8,6,2,toml-parse,400000,48.8,23.8,0
8,6,2,yaml-parse,400000,71.3,49.1,0
8,6,2,ini-parse,400000,70.8,48.6,0
8,6,2,properties-parse,400000,73.3,49.6,0
8,6,2,xml-parse,400000,29.8,16.2,0
8,6,2,plist-parse,400000,42,21.3,0
8,6,2,hcl-parse,400000,63.1,40.4,0
8,6,2,json-ops,75000,39.9,16.2,0
8,6,2,toml-ops,75000,23.5,8.7,0
8,6,2,yaml-ops,75000,39.9,18.8,0
